address,detail_url,neighborhood
"156 Millaudon St, New Orleans, LA 70118",https://www.zillow.com/homedetails/156-Millaudon-St-New-Orleans-LA-70118/84480645_zpid/,black-pearl
"248 Cherokee St Apt 25, New Orleans, LA 70118",https://www.zillow.com/homedetails/248-Cherokee-St-APT-25-New-Orleans-LA-70118/2100997581_zpid/,black-pearl
"8000 Saint Charles Ave #c, New Orleans, LA 70118",https://www.zillow.com/homedetails/8000-Saint-Charles-Ave-C-New-Orleans-LA-70118/2067974076_zpid/,black-pearl
"7444 Saint Charles Ave Apt 310, New Orleans, LA 70118",https://www.zillow.com/homedetails/7444-Saint-Charles-Ave-APT-310-New-Orleans-LA-70118/149083102_zpid/,black-pearl
"400-02 Millaudon St, New Orleans, LA 70118",https://www.zillow.com/homedetails/400-02-Millaudon-St-New-Orleans-LA-70118/2061499247_zpid/,black-pearl
"7444 Saint Charles Ave Apt 205, New Orleans, LA 70118",https://www.zillow.com/homedetails/7444-Saint-Charles-Ave-APT-205-New-Orleans-LA-70118/149083088_zpid/,black-pearl
"7608 Saint Charles Ave Apt A, New Orleans, LA 70118",https://www.zillow.com/homedetails/7608-Saint-Charles-Ave-APT-A-New-Orleans-LA-70118/114013107_zpid/,black-pearl
"2700-02 S Galvez St, New Orleans, LA 70125",https://www.zillow.com/homedetails/2700-02-S-Galvez-St-New-Orleans-LA-70125/402142033_zpid/,broadmoor
"4420 S Prieur St, New Orleans, LA 70125",https://www.zillow.com/homedetails/4420-S-Prieur-St-New-Orleans-LA-70125/73836797_zpid/,broadmoor
"3316-18 Delachaise St, New Orleans, LA 70125",https://www.zillow.com/homedetails/3316-18-Delachaise-St-New-Orleans-LA-70125/390861039_zpid/,broadmoor
"3219-21 Louisiana Ave, New Orleans, LA 70125",https://www.zillow.com/homedetails/3219-21-Louisiana-Ave-New-Orleans-LA-70125/2065963412_zpid/,broadmoor
"3922 Delachaise St, New Orleans, LA 70125",https://www.zillow.com/homedetails/3922-Delachaise-St-New-Orleans-LA-70125/149076698_zpid/,broadmoor
"4200 Walmsley Ave, New Orleans, LA 70125",https://www.zillow.com/homedetails/4200-Walmsley-Ave-New-Orleans-LA-70125/73838163_zpid/,broadmoor
"3700 Octavia St, New Orleans, LA 70125",https://www.zillow.com/homedetails/3700-Octavia-St-New-Orleans-LA-70125/73843315_zpid/,broadmoor
"3231 Milan St, New Orleans, LA 70125",https://www.zillow.com/homedetails/3231-Milan-St-New-Orleans-LA-70125/73837071_zpid/,broadmoor
