address,detail_url,neighborhood,latitude,longitude
"3354 Dumaine St, New Orleans, LA 70119",https://www.zillow.com/homedetails/3354-Dumaine-St-New-Orleans-LA-70119/365826135_zpid/,bayou-st-john,29.9770305,-90.08918899999999
"1828-30 Moss St, New Orleans, LA 70119",https://www.zillow.com/homedetails/1828-30-Moss-St-New-Orleans-LA-70119/2054617824_zpid/,bayou-st-john,29.9880168,-90.087311
"2927 Bell St, New Orleans, LA 70119",https://www.zillow.com/homedetails/2927-Bell-St-New-Orleans-LA-70119/73780137_zpid/,bayou-st-john,29.9770937,-90.08275379999999
"1119 N Dupre St, New Orleans, LA 70119",https://www.zillow.com/homedetails/1119-N-Dupre-St-New-Orleans-LA-70119/73786303_zpid/,bayou-st-john,29.9763393,-90.08248429999999
"1115 Numa St, New Orleans, LA 70114",https://www.zillow.com/homedetails/1115-Numa-St-New-Orleans-LA-70114/84472810_zpid/,behrman,29.9433286,-90.0358931
"2069 Halsey Ave, New Orleans, LA 70114",https://www.zillow.com/homedetails/2069-Halsey-Ave-New-Orleans-LA-70114/73825726_zpid/,behrman,29.9319645,-90.017336
"1440 Shirley Dr, New Orleans, LA 70114",https://www.zillow.com/homedetails/1440-Shirley-Dr-New-Orleans-LA-70114/73824165_zpid/,behrman,29.9390053,-90.0314252
"2065 Halsey Ave, New Orleans, LA 70114",https://www.zillow.com/homedetails/2065-Halsey-Ave-New-Orleans-LA-70114/84473412_zpid/,behrman,29.9322237,-90.0173341
"2020 Farragut St, New Orleans, LA 70114",https://www.zillow.com/homedetails/2020-Farragut-St-New-Orleans-LA-70114/149053594_zpid/,behrman,29.9338898,-90.03378339999999
"1231-33 Flanders St, New Orleans, LA 70114",https://www.zillow.com/homedetails/1231-33-Flanders-St-New-Orleans-LA-70114/366834448_zpid/,behrman,29.9418209,-90.02030359999999
"3542 Vespasian Blvd Apt 109, New Orleans, LA 70114",https://www.zillow.com/homedetails/3542-Vespasian-Blvd-APT-109-New-Orleans-LA-70114/2070250551_zpid/,behrman,29.9302199,-90.0187902
"5885 Mac Arthur Blvd, New Orleans, LA 70131",https://www.zillow.com/homedetails/5885-Mac-Arthur-Blvd-New-Orleans-LA-70131/73828991_zpid/,behrman,29.9203886,-89.9932353
"2317-19 Kraft Pl, New Orleans, LA 70114",https://www.zillow.com/homedetails/2317-19-Kraft-Pl-New-Orleans-LA-70114/2065974728_zpid/,behrman,29.931492,-90.03404359999999
"7463 Dominican St, New Orleans, LA 70118",https://www.zillow.com/homedetails/7463-Dominican-St-New-Orleans-LA-70118/73843181_zpid/,black-pearl,29.9377106,-90.1306346
"248 Cherokee St Apt 29, New Orleans, LA 70118",https://www.zillow.com/homedetails/248-Cherokee-St-APT-29-New-Orleans-LA-70118/149082779_zpid/,black-pearl,29.936607,-90.1324436
"156 Millaudon St, New Orleans, LA 70118",https://www.zillow.com/homedetails/156-Millaudon-St-New-Orleans-LA-70118/84480645_zpid/,black-pearl,29.9344694,-90.13329209999999
"248 Cherokee St Apt 25, New Orleans, LA 70118",https://www.zillow.com/homedetails/248-Cherokee-St-APT-25-New-Orleans-LA-70118/2100997581_zpid/,black-pearl,29.936607,-90.1324436
"8000 Saint Charles Ave #c, New Orleans, LA 70118",https://www.zillow.com/homedetails/8000-Saint-Charles-Ave-C-New-Orleans-LA-70118/2067974076_zpid/,black-pearl,29.9423062,-90.13371819999999
"7444 Saint Charles Ave Apt 310, New Orleans, LA 70118",https://www.zillow.com/homedetails/7444-Saint-Charles-Ave-APT-310-New-Orleans-LA-70118/149083102_zpid/,black-pearl,29.9383179,-90.12861629999999
"400-02 Millaudon St, New Orleans, LA 70118",https://www.zillow.com/homedetails/400-02-Millaudon-St-New-Orleans-LA-70118/2061499247_zpid/,black-pearl,29.9373709,-90.1302909
"7444 Saint Charles Ave Apt 205, New Orleans, LA 70118",https://www.zillow.com/homedetails/7444-Saint-Charles-Ave-APT-205-New-Orleans-LA-70118/149083088_zpid/,black-pearl,29.9383179,-90.12861629999999
"7608 Saint Charles Ave Apt A, New Orleans, LA 70118",https://www.zillow.com/homedetails/7608-Saint-Charles-Ave-APT-A-New-Orleans-LA-70118/114013107_zpid/,black-pearl,29.9398338,-90.130619
"2700-02 S Galvez St, New Orleans, LA 70125",https://www.zillow.com/homedetails/2700-02-S-Galvez-St-New-Orleans-LA-70125/402142033_zpid/,broadmoor,29.9468662,-90.0966151
"4420 S Prieur St, New Orleans, LA 70125",https://www.zillow.com/homedetails/4420-S-Prieur-St-New-Orleans-LA-70125/73836797_zpid/,broadmoor,29.9428584,-90.104452
"3316-18 Delachaise St, New Orleans, LA 70125",https://www.zillow.com/homedetails/3316-18-Delachaise-St-New-Orleans-LA-70125/390861039_zpid/,broadmoor,29.9439624,-90.0998479
"3219-21 Louisiana Ave, New Orleans, LA 70125",https://www.zillow.com/homedetails/3219-21-Louisiana-Ave-New-Orleans-LA-70125/2065963412_zpid/,broadmoor,29.943722,-90.0982336
"3922 Delachaise St, New Orleans, LA 70125",https://www.zillow.com/homedetails/3922-Delachaise-St-New-Orleans-LA-70125/149076698_zpid/,broadmoor,29.9492633,-90.1016824
"4200 Walmsley Ave, New Orleans, LA 70125",https://www.zillow.com/homedetails/4200-Walmsley-Ave-New-Orleans-LA-70125/73838163_zpid/,broadmoor,29.9508651,-90.104281
"3700 Octavia St, New Orleans, LA 70125",https://www.zillow.com/homedetails/3700-Octavia-St-New-Orleans-LA-70125/73843315_zpid/,broadmoor,29.949156,-90.1088963
"3231 Milan St, New Orleans, LA 70125",https://www.zillow.com/homedetails/3231-Milan-St-New-Orleans-LA-70125/73837071_zpid/,broadmoor,29.9431789,-90.1011626
"2401-03 S Johnson St, New Orleans, LA 70125",https://www.zillow.com/homedetails/2401-03-S-Johnson-St-New-Orleans-LA-70125/2052924783_zpid/,broadmoor,29.9476445,-90.09387459999999
"26 Versailles Blvd, New Orleans, LA 70125",https://www.zillow.com/homedetails/26-Versailles-Blvd-New-Orleans-LA-70125/73841310_zpid/,marlyville-fontainebleau,29.9504811,-90.11332259999999
"7217-19 Pritchard Pl, New Orleans, LA 70125",https://www.zillow.com/homedetails/7217-19-Pritchard-Pl-New-Orleans-LA-70125/2065971476_zpid/,marlyville-fontainebleau,29.95648409999999,-90.112434
"4150 State Street Dr, New Orleans, LA 70125",https://www.zillow.com/homedetails/4150-State-Street-Dr-New-Orleans-LA-70125/73839038_zpid/,marlyville-fontainebleau,29.9546011,-90.10939259999999
"2908 Audubon St, New Orleans, LA 70125",https://www.zillow.com/homedetails/2908-Audubon-St-New-Orleans-LA-70125/84479698_zpid/,marlyville-fontainebleau,29.9558999,-90.1115817
"25 Versailles Blvd, New Orleans, LA 70125",https://www.zillow.com/homedetails/25-Versailles-Blvd-New-Orleans-LA-70125/73840544_zpid/,marlyville-fontainebleau,29.9495091,-90.1130621
"6216-18 Fontainebleau Dr, New Orleans, LA 70125",https://www.zillow.com/homedetails/6216-18-Fontainebleau-Dr-New-Orleans-LA-70125/2065944787_zpid/,marlyville-fontainebleau,29.9514498,-90.11083350000001
"2313 Burdette St, New Orleans, LA 70118",https://www.zillow.com/homedetails/2313-Burdette-St-New-Orleans-LA-70118/73845502_zpid/,marlyville-fontainebleau,29.9532899,-90.1184454
"6215-17 York St, New Orleans, LA 70125",https://www.zillow.com/homedetails/6215-17-York-St-New-Orleans-LA-70125/2065978613_zpid/,marlyville-fontainebleau,29.9492375,-90.1115414
"5417 S Tonti St, New Orleans, LA 70125",https://www.zillow.com/homedetails/5417-S-Tonti-St-New-Orleans-LA-70125/84477462_zpid/,marlyville-fontainebleau,29.94632279999999,-90.1086397
